date,outputgap,fedfunds
1993/01/01,1.0203523282,3.04
1993/04/01,1.0754763349,3
1993/07/01,1.179020428,3.06
1993/10/01,0.9191709128,2.99
1994/01/01,0.8105494842,3.21
1994/04/01,0.5360247525,3.94
1994/07/01,0.5968567461,4.49
1994/10/01,0.4255359536,5.17
1995/01/01,0.5991487846,5.81
1995/04/01,0.7738497337,6.02
1995/07/01,0.7332618203,5.8
1995/10/01,0.759387128,5.72
1996/01/01,0.8132334101,5.36
1996/04/01,0.4020182339,5.24
1996/07/01,0.3456793002,5.31
1996/10/01,0.2361087376,5.28
1997/01/01,0.255674896,5.28
1997/04/01,-0.0421287032,5.52
1997/07/01,-0.2357171284,5.53
1997/10/01,-0.2113745774,5.51
1998/01/01,-0.2745565272,5.52
1998/04/01,-0.3235537786,5.5
1998/07/01,-0.5148929518,5.53
1998/10/01,-0.8456742727,4.86
1999/01/01,-0.8120083014,4.73
1999/04/01,-0.7895853343,4.75
1999/07/01,-0.9514066849,5.09
1999/10/01,-1.315328092,5.31
2000/01/01,-1.0567346384,5.68
2000/04/01,-1.4779595268,6.27
2000/07/01,-1.1373018575,6.52
2000/10/01,-0.9906112337,6.47
2001/01/01,-0.4744907404,5.59
2001/04/01,-0.3155055251,4.33
2001/07/01,0.2061801499,3.5
2001/10/01,0.463865547,2.13
2002/01/01,0.4322025032,1.73
2002/04/01,0.5579150655,1.75
2002/07/01,0.7030236244,1.74
2002/10/01,1.0219719879,1.44
2003/01/01,1.1333142383,1.25
2003/04/01,1.0508250306,1.25
2003/07/01,0.6359083489,1.02
2003/10/01,0.4251535863,1
2004/01/01,0.4533874804,1
2004/04/01,0.4019799296,1.01
2004/07/01,0.2669360417,1.43
2004/10/01,0.1464563,1.95
2005/01/01,-0.0588150783,2.47
2005/04/01,-0.0321717853,2.94
2005/07/01,-0.1435364964,3.46
2005/10/01,-0.1390242852,3.98
2006/01/01,-0.4031923071,4.46
2006/04/01,-0.2761803933,4.91
2006/07/01,-0.0578338533,5.25
2006/10/01,-0.1393031241,5.25
2007/01/01,0.0912632322,5.26
2007/04/01,0.0223431144,5.25
2007/07/01,-0.0100805104,5.07
2007/10/01,0.0883114406,4.5
2008/01/01,0.6299573525,3.18
2008/04/01,0.6491566632,2.09
2008/07/01,1.080824467,1.94
2008/10/01,2.2180301132,0.51
2009/01/01,3.0146328414,0.18
2009/04/01,3.2436546221,0.18
2009/07/01,3.2605607903,0.16
2009/10/01,2.9921181319,0.12
2010/01/01,2.9481475549,0.13
2010/04/01,2.6701498517,0.19
2010/07/01,2.5162730419,0.19
2010/10/01,2.383222713,0.19
2011/01/01,2.7010076816,0.16
2011/04/01,2.540348011,0.09
2011/07/01,2.6071147369,0.08
